,MSE,RMSE,MAE,R2,CV_R2_Mean,CV_R2_Std
Linear Regression,0.010366410853774478,0.10181557274687639,0.08110489405975291,0.9999996453547472,0.9999996432312772,8.545812646440492e-08
Ridge Regression,0.06870300165271923,0.2621125743887905,0.20713797208906948,0.9999976496018018,0.9999968692930417,2.2467085244548272e-07
Lasso Regression,0.11266018759052984,0.33564890524256125,0.26514642058410653,0.9999961457826362,0.9999965710463625,2.3828707027644748e-07
Random Forest,5451.900384097123,73.83698520455127,58.29803669045148,0.8134850511484182,0.8186283989103502,0.01697882924701685
Gradient Boosting,2421.960814334793,49.213421079364046,37.078222103711575,0.9171423053282732,0.910820433884961,0.013241107548456805
SVR,22656.675858169256,150.52134685209688,115.82938812101541,0.22489252533671633,0.18249329307598683,0.018073177449731373
