,MSE,RMSE,MAE,R2,CV_R2_Mean,CV_R2_Std
Linear Regression,28.44022147792378,5.332937415526623,4.257010115218053,0.7411866916117558,0.763495818843228,0.025049068776872147
Ridge Regression,28.435332346182598,5.332479005695437,4.2563047325109284,0.7412311839643229,0.7635131461898045,0.025032259184184186
Lasso Regression,28.251555832862955,5.315219264796416,4.241965958431975,0.742903597361428,0.7638257469796743,0.02533595324552941
Random Forest,34.17302769611315,5.845770068700372,4.660945651991962,0.6890166849600845,0.7177775720442268,0.041370140947224826
Gradient Boosting,35.703432243225315,5.975234911133228,4.810148740750292,0.6750896111390186,0.7078807030151072,0.03932155449994119
SVR,31.621720291086355,5.623319330349856,4.436156454200566,0.7122342365787654,0.7025502053042745,0.018640006185397972
